id,type,x,y,z,users,total_bw,shared_bw,active
873,FEMTO,31,18,1,0,6800.0,6800.0,false
874,FEMTO,31,18,1,0,6800.0,6800.0,true
875,FEMTO,31,18,1,0,6800.0,6800.0,false
876,FEMTO,31,18,1,0,6800.0,6800.0,false
877,FEMTO,31,18,1,0,6800.0,6800.0,false
878,FEMTO,31,18,1,0,6800.0,6800.0,false
879,FEMTO,65,32,1,0,6800.0,6800.0,false
880,FEMTO,65,32,1,0,6800.0,6800.0,true
881,FEMTO,65,32,1,0,6800.0,6800.0,false
882,FEMTO,65,32,1,0,6800.0,6800.0,false
883,FEMTO,65,32,1,0,6800.0,6800.0,false
884,FEMTO,65,32,1,2,6800.0,3400.0,true
885,FEMTO,65,32,1,0,6800.0,6800.0,false
886,FEMTO,65,32,1,0,6800.0,6800.0,true
887,FEMTO,65,32,1,0,6800.0,6800.0,false
888,FEMTO,65,32,1,0,6800.0,6800.0,false
889,FEMTO,65,32,1,0,6800.0,6800.0,true
890,FEMTO,65,32,1,0,6800.0,6800.0,false
891,FEMTO,27,72,1,1,6800.0,6800.0,true
892,FEMTO,27,72,1,0,6800.0,6800.0,false
893,FEMTO,27,72,1,0,6800.0,6800.0,false
894,FEMTO,27,72,1,0,6800.0,6800.0,false
895,FEMTO,27,72,1,0,6800.0,6800.0,false
896,FEMTO,27,72,1,0,6800.0,6800.0,false
897,FEMTO,27,72,1,1,6800.0,6800.0,true
898,FEMTO,27,72,1,0,6800.0,6800.0,false
899,FEMTO,27,72,1,1,6800.0,6800.0,true
900,FEMTO,27,72,1,0,6800.0,6800.0,false
901,FEMTO,27,72,1,0,6800.0,6800.0,false
902,FEMTO,27,72,1,0,6800.0,6800.0,false
903,FEMTO,95,51,1,0,6800.0,6800.0,false
904,FEMTO,95,51,1,0,6800.0,6800.0,false
905,FEMTO,95,51,1,0,6800.0,6800.0,false
906,FEMTO,95,51,1,0,6800.0,6800.0,true
907,FEMTO,95,51,1,0,6800.0,6800.0,false
908,FEMTO,95,51,1,0,6800.0,6800.0,false
909,FEMTO,95,51,1,0,6800.0,6800.0,false
910,FEMTO,95,51,1,0,6800.0,6800.0,false
911,FEMTO,95,51,1,0,6800.0,6800.0,false
912,FEMTO,95,51,1,0,6800.0,6800.0,true
913,FEMTO,95,51,1,0,6800.0,6800.0,false
914,FEMTO,95,51,1,0,6800.0,6800.0,false
915,FEMTO,66,32,1,0,6800.0,6800.0,false
916,FEMTO,66,32,1,0,6800.0,6800.0,false
917,FEMTO,66,32,1,0,6800.0,6800.0,false
918,FEMTO,66,32,1,0,6800.0,6800.0,false
919,FEMTO,66,32,1,0,6800.0,6800.0,false
920,FEMTO,66,32,1,0,6800.0,6800.0,false
921,FEMTO,66,32,1,0,6800.0,6800.0,false
922,FEMTO,66,32,1,0,6800.0,6800.0,false
923,FEMTO,66,32,1,0,6800.0,6800.0,false
924,FEMTO,66,32,1,1,6800.0,6800.0,true
925,FEMTO,66,32,1,1,6800.0,6800.0,true
926,FEMTO,66,32,1,0,6800.0,6800.0,true
927,FEMTO,0,54,1,0,6800.0,6800.0,false
928,FEMTO,0,54,1,0,6800.0,6800.0,false
929,FEMTO,0,54,1,0,6800.0,6800.0,true
930,FEMTO,0,54,1,0,6800.0,6800.0,false
931,FEMTO,0,54,1,0,6800.0,6800.0,true
932,FEMTO,0,54,1,0,6800.0,6800.0,true
933,FEMTO,0,54,1,0,6800.0,6800.0,false
934,FEMTO,0,54,1,0,6800.0,6800.0,false
935,FEMTO,0,54,1,0,6800.0,6800.0,false
936,FEMTO,0,54,1,0,6800.0,6800.0,false
937,FEMTO,0,54,1,0,6800.0,6800.0,false
938,FEMTO,0,54,1,0,6800.0,6800.0,false
939,FEMTO,92,67,1,0,6800.0,6800.0,false
940,FEMTO,92,67,1,0,6800.0,6800.0,false
941,FEMTO,92,67,1,0,6800.0,6800.0,false
942,FEMTO,92,67,1,0,6800.0,6800.0,false
943,FEMTO,92,67,1,0,6800.0,6800.0,false
944,FEMTO,92,67,1,0,6800.0,6800.0,false
945,FEMTO,92,67,1,0,6800.0,6800.0,false
946,FEMTO,92,67,1,0,6800.0,6800.0,true
947,FEMTO,92,67,1,0,6800.0,6800.0,false
948,FEMTO,92,67,1,0,6800.0,6800.0,false
949,FEMTO,92,67,1,0,6800.0,6800.0,false
950,FEMTO,92,67,1,0,6800.0,6800.0,false
951,FEMTO,29,0,1,0,6800.0,6800.0,false
952,FEMTO,29,0,1,0,6800.0,6800.0,true
953,FEMTO,29,0,1,0,6800.0,6800.0,true
954,FEMTO,29,0,1,0,6800.0,6800.0,false
955,FEMTO,29,0,1,0,6800.0,6800.0,false
956,FEMTO,29,0,1,0,6800.0,6800.0,true
957,FEMTO,29,0,1,0,6800.0,6800.0,false
958,FEMTO,29,0,1,0,6800.0,6800.0,false
959,FEMTO,29,0,1,0,6800.0,6800.0,true
960,FEMTO,29,0,1,0,6800.0,6800.0,true
961,FEMTO,29,0,1,0,6800.0,6800.0,false
962,FEMTO,29,0,1,0,6800.0,6800.0,true
963,FEMTO,98,27,1,0,6800.0,6800.0,false
964,FEMTO,98,27,1,0,6800.0,6800.0,false
965,FEMTO,98,27,1,0,6800.0,6800.0,true
966,FEMTO,98,27,1,0,6800.0,6800.0,false
967,FEMTO,98,27,1,0,6800.0,6800.0,true
968,FEMTO,98,27,1,0,6800.0,6800.0,true
969,FEMTO,98,27,1,0,6800.0,6800.0,true
970,FEMTO,98,27,1,0,6800.0,6800.0,false
971,FEMTO,98,27,1,0,6800.0,6800.0,false
972,FEMTO,98,27,1,0,6800.0,6800.0,true
